20161025-NYK-CLE
20161025-UTA-POR
20161025-SAS-GSW
20161026-MIA-ORL
20161026-DAL-IND
20161026-BRO-BOS
20161026-DET-TOR
20161026-CHA-MIL
20161026-MIN-MEM
20161026-DEN-NOP
20161026-OKL-PHI
20161026-SAC-PHX
20161026-HOU-LAL
20161027-WAS-ATL
20161027-BOS-CHI
20161027-SAS-SAC
20161027-LAC-POR
20161028-CLE-TOR
20161028-IND-BRO
20161028-ORL-DET
20161028-PHX-OKL
20161028-CHA-MIA
20161028-HOU-DAL
20161028-LAL-UTA
20161028-GSW-NOP
20161029-ATL-PHI
20161029-BOS-CHA
20161029-MEM-NYK
20161029-ORL-CLE
20161029-IND-CHI
20161029-BRO-MIL
20161029-NOP-SAS
20161029-POR-DEN
20161029-MIN-SAC
20161030-UTA-LAC
20161030-GSW-PHX
20161030-SAS-MIA
20161030-MIL-DET
20161030-LAL-OKL
20161030-WAS-MEM
20161030-DAL-HOU
20161031-DEN-TOR
20161031-CHI-BRO
20161031-SAC-ATL
20161031-PHX-LAC
20161101-HOU-CLE
20161101-ORL-PHI
20161101-LAL-IND
20161101-SAC-MIA
20161101-NYK-DET
20161101-MIL-NOP
20161101-MEM-MIN
20161101-UTA-SAS
20161101-GSW-POR
20161102-TOR-WAS
20161102-PHI-CHA
20161102-DET-BRO
20161102-HOU-NYK
20161102-LAL-ATL
20161102-NOP-MEM
20161102-CHI-BOS
20161102-DAL-UTA
20161102-POR-PHX
20161102-OKL-LAC
20161103-SAC-ORL
20161103-IND-MIL
20161103-DEN-MIN
20161103-BOS-CLE
20161103-OKL-GSW
20161104-ATL-WAS
20161104-MIA-TOR
20161104-CHA-BRO
20161104-NYK-CHI
20161104-LAC-MEM
20161104-PHX-NOP
20161104-POR-DAL
20161104-SAS-UTA
20161104-GSW-LAL
20161105-MIN-OKL
20161105-CLE-PHI
20161105-WAS-ORL
20161105-DEN-DET
20161105-CHI-IND
20161105-HOU-ATL
20161105-SAC-MIL
20161105-LAC-SAS
20161106-UTA-NYK
20161106-POR-MEM
20161106-SAC-TOR
20161106-MIL-DAL
20161106-DEN-BOS
20161106-PHX-LAL
20161107-UTA-PHI
20161107-HOU-WAS
20161107-IND-CHA
20161107-ORL-CHI
20161107-MIA-OKL
20161107-DET-LAC
20161107-NOP-GSW
20161108-ATL-CLE
20161108-MIN-BRO
20161108-DEN-MEM
20161108-PHX-POR
20161108-DAL-LAL
20161108-NOP-SAC
20161109-BRO-NYK
20161109-BOS-WAS
20161109-UTA-CHA
20161109-MIN-ORL
20161109-PHI-IND
20161109-CHI-ATL
